"Phase","Task ID","Task Name","Assignee","Description / Sub-tasks","Status"
"Phase 1: Setup & Core Plumbing","1.1","Project Setup","Pradneya","create-next-app, install Tailwind, shadcn/ui, react-hot-toast","To Do"
"Phase 1: Setup & Core Plumbing","1.2","Stub API","Ankit","Create pages/api/generate.js, return hardcoded 'Hello World' JSX","To Do"
"Phase 1: Setup & Core Plumbing","1.3","Build Main UI Layout","Pradneya","Build 3-panel responsive layout (Canvas | Code | Preview) using shadcn Resizable","To Do"
"Phase 1: Setup & Core Plumbing","1.4","Integrate Canvas","Himanshu","Install tldraw, create components/Canvas.js, render <Tldraw /> in its panel","To Do"
"Phase 1: Setup & Core Plumbing","1.5","Build Output Components","Pradneya","Create CodeDisplay.js (react-syntax-highlighter) and LivePreview.js (react-live)","To Do"
"Phase 1: Setup & Core Plumbing","1.6","Wire 'Generate' Button","Himanshu","Add 'Generate' button to canvas UI, get image as base64 on click","To Do"
"Phase 1: Setup & Core Plumbing","1.7","Wire Core Loop (Stubbed)","Himanshu","fetch Ankit's stubbed API, set isLoading state, pass hardcoded code to Pradneya's components","To Do"
"Phase 2: The 'Magic' (AI)","2.1","Secure API Key","Ankit","Create .env.local, add GOOGLE_API_KEY, add to .gitignore","To Do"
"Phase 2: The 'Magic' (AI)","2.2","Implement Core AI Logic","Ankit","In /api/generate, receive image, implement v1 prompt, call Gemini API, add error handling","To Do"
"Phase 2: The 'Magic' (AI)","2.3","Clean AI Response","Ankit","Add logic to parse AI response, remove markdown backticks/text, send *only* raw code","To Do"
"Phase 2: The 'Magic' (AI)","2.4","Connect Core Loop (Live)","Himanshu","Point fetch request to live API, set generatedCode state with real AI code","To Do"
"Phase 3: The 'Wow' (Polish)","3.1","Implement 'Refine' UI","Pradneya","Add 'Refine' <Input> and 'Update' <Button> to the UI","To Do"
"Phase 3: The 'Wow' (Polish)","3.2","Implement 'Refine' API","Ankit","Create /api/refine route, accept (previousCode, textPrompt, imageBase64), implement v2 prompt","To Do"
"Phase 3: The 'Wow' (Polish)","3.3","Wire 'Refine' Loop","Himanshu","Wire 'Update' button to fetch /api/refine, update generatedCode state on success","To Do"
"Phase 3: The 'Wow' (Polish)","3.4","Final Polish & Branding","Pradneya","Style all components with shadcn, add logo, add loading spinners, add error toasts","To Do"
"Phase 3: The 'Wow' (Polish)","3.5","Canned Demos (Demo Insurance)","Himanshu","Add 2-3 buttons to load preset images onto the canvas for a guaranteed-to-work demo","To Do"
"Phase 3: The 'Wow' (Polish)","3.6","Deploy","Ankit","Deploy to Vercel, add environment variables to Vercel project settings","To Do"
"Stretch Goals","4.1","Editable Code Output","Pradneya","Replace react-syntax-highlighter with monaco-editor","To Do"
"Stretch Goals","4.2","Alternative Image Upload","Himanshu","Add Drag-and-Drop + File Picker as another way to add an image","To Do"
"Stretch Goals","4.3","Animations","Pradneya","Add simple transitions with Framer Motion","To Do"
"Stretch Goals","4.4","User Authentication (Backend)","Ankit","Build auth routes (/login, /register), setup DB (e.g., Supabase), JWT logic","To Do"
"Stretch Goals","4.5","User Authentication (Frontend)","Pradneya","Build Login/Register UI pages","To Do"